Old_Vs_Name,New_App_Name,Status,Old_IP_Address,New_IP_Address,Unsupported
LTM_POLICY_VS,Common_LTM_POLICY_VS,yellow,10.1.10.54,-,ltm virtual /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/Common_LTM_POLICY_VS;ltm profile tcp /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/tcp_default_v15;ltm default-node-monitor;ltm monitor http /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/monitor_http_default_v15_dup;ltm virtual-address /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/10.1.10.54;ltm profile http /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/profile_http_default_v15_dup;ltm monitor http /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/http_default_v15;ltm profile http /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/profile_http_default_v15_dup/enforcement;ltm profile http /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/http_default_v15;ltm policy /tenant9eccc5cd13bdf/Common_LTM_POLICY_VS/ltm_policy5
IP_FORWARD_VS,Common_IP_FORWARD_VS,red,10.1.10.59,-,ltm virtual /tenant8556714013c22/Common_IP_FORWARD_VS/Common_IP_FORWARD_VS;ltm profile fastl4 /tenant8556714013c22/Common_IP_FORWARD_VS/fastL4_default_v15;ltm virtual-address /tenant8556714013c22/Common_IP_FORWARD_VS/10.1.10.59
FAST_L4,Common_FAST_L4,yellow,10.1.10.51,-,ltm default-node-monitor;ltm virtual-address /tenant876abc821fc67/Common_FAST_L4/10.1.10.51;ltm virtual /tenant876abc821fc67/Common_FAST_L4/Common_FAST_L4;ltm monitor http /tenant876abc821fc67/Common_FAST_L4/http_default_v15;ltm profile fastl4 /tenant876abc821fc67/Common_FAST_L4/fastL4_default_v15
ltm-app-vs,Common_ltm-app-vs,yellow,10.1.10.71,-,ltm monitor http /tenant2d33d6521f643/Common_ltm-app-vs/http_default_v15;ltm default-node-monitor;ltm profile http /tenant2d33d6521f643/Common_ltm-app-vs/profile_http_default_v15_dup/enforcement;ltm monitor http /tenant2d33d6521f643/Common_ltm-app-vs/ltm-custom-monitor;ltm monitor http /tenant2d33d6521f643/Common_ltm-app-vs/monitor_http_default_v15_dup;ltm profile http /tenant2d33d6521f643/Common_ltm-app-vs/http_default_v15;ltm virtual /tenant2d33d6521f643/Common_ltm-app-vs/Common_ltm-app-vs;ltm profile tcp /tenant2d33d6521f643/Common_ltm-app-vs/tcp_default_v15;ltm profile http /tenant2d33d6521f643/Common_ltm-app-vs/profile_http_default_v15_dup;ltm policy /tenant2d33d6521f643/Common_ltm-app-vs/ltm-routing-policy;ltm virtual-address /tenant2d33d6521f643/Common_ltm-app-vs/10.1.10.71
WAF_BOT_DEFENSE,Common_WAF_BOT_DEFENSE,yellow,10.1.10.55,-,ltm default-node-monitor;ltm profile http /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/http_default_v15;ltm profile client-ssl /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/waf-bot-defense-ssl;ltm virtual-address /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/10.1.10.55;ltm profile tcp /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/tcp_default_v15;ltm virtual /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/Common_WAF_BOT_DEFENSE;ltm profile http /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/profile_http_default_v15_dup/enforcement;ltm monitor http /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/http_default_v15;ltm monitor http /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/monitor_http_default_v15_dup;ltm profile http /tenantafe11b8b1ad1b/Common_WAF_BOT_DEFENSE/profile_http_default_v15_dup
WAF_DOS_PROFILE,Common_WAF_DOS_PROFILE,yellow,10.1.10.56,-,ltm monitor http /tenantc6b599611379f/Common_WAF_DOS_PROFILE/http_default_v15;ltm profile http /tenantc6b599611379f/Common_WAF_DOS_PROFILE/http_default_v15;ltm default-node-monitor;ltm profile http /tenantc6b599611379f/Common_WAF_DOS_PROFILE/profile_http_default_v15_dup;ltm profile tcp /tenantc6b599611379f/Common_WAF_DOS_PROFILE/tcp_default_v15;ltm virtual-address /tenantc6b599611379f/Common_WAF_DOS_PROFILE/10.1.10.56;ltm profile client-ssl /tenantc6b599611379f/Common_WAF_DOS_PROFILE/waf-dos-profile-ssl;ltm profile http /tenantc6b599611379f/Common_WAF_DOS_PROFILE/profile_http_default_v15_dup/enforcement;ltm monitor http /tenantc6b599611379f/Common_WAF_DOS_PROFILE/monitor_http_default_v15_dup;ltm virtual /tenantc6b599611379f/Common_WAF_DOS_PROFILE/Common_WAF_DOS_PROFILE
SSL_OFFLOAD_VS_W_PASSWORD,Common_SSL_OFFLOAD_VS_W_PASSWORD,blue,10.1.10.60,-,ltm profile http /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/http_default_v15;ltm virtual /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/Common_SSL_OFFLOAD_VS_W_PASSWORD;ltm default-node-monitor;ltm monitor http /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/monitor_http_default_v15_dup;ltm profile client-ssl /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/ssl-offload-w-password2-ssl;ltm monitor http /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/http_default_v15;ltm virtual-address /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/10.1.10.60;ltm profile http /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/profile_http_default_v15_dup/enforcement;ltm profile tcp /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/tcp_default_v15;ltm profile http /tenant8a96a9be146f5/Common_SSL_OFFLOAD_VS_W_PASSWORD/profile_http_default_v15_dup
WAF_VANILLA_VS,Common_WAF_VANILLA_VS,yellow,10.1.10.58,-,ltm profile tcp /tenante9d211431745b/Common_WAF_VANILLA_VS/tcp_default_v15;ltm monitor http /tenante9d211431745b/Common_WAF_VANILLA_VS/monitor_http_default_v15_dup;ltm default-node-monitor;ltm monitor http /tenante9d211431745b/Common_WAF_VANILLA_VS/http_default_v15;ltm profile http /tenante9d211431745b/Common_WAF_VANILLA_VS/profile_http_default_v15_dup;ltm profile http /tenante9d211431745b/Common_WAF_VANILLA_VS/http_default_v15;ltm virtual-address /tenante9d211431745b/Common_WAF_VANILLA_VS/10.1.10.58;ltm profile client-ssl /tenante9d211431745b/Common_WAF_VANILLA_VS/waf-vanilla-ssl;ltm profile http /tenante9d211431745b/Common_WAF_VANILLA_VS/profile_http_default_v15_dup/enforcement;ltm virtual /tenante9d211431745b/Common_WAF_VANILLA_VS/Common_WAF_VANILLA_VS
TCP_PROG,Common_TCP_PROG,yellow,10.1.10.52,-,ltm virtual-address /tenant828fd060111a7/Common_TCP_PROG/10.1.10.52;ltm default-node-monitor;ltm monitor http /tenant828fd060111a7/Common_TCP_PROG/http_default_v15;ltm profile http /tenant828fd060111a7/Common_TCP_PROG/profile_http_default_v15_dup;ltm virtual /tenant828fd060111a7/Common_TCP_PROG/Common_TCP_PROG;ltm profile tcp /tenant828fd060111a7/Common_TCP_PROG/f5_tcp_progressive;ltm monitor http /tenant828fd060111a7/Common_TCP_PROG/monitor_http_default_v15_dup;ltm profile http /tenant828fd060111a7/Common_TCP_PROG/profile_http_default_v15_dup/enforcement;ltm profile http /tenant828fd060111a7/Common_TCP_PROG/http_default_v15
SSL_OFFLOAD_VS_80,Common_SSL_OFFLOAD_VS_443,yellow,10.1.10.53,-,ltm profile tcp /tenant5d98d6e21cc5a/Common_SSL_OFFLOAD_VS_80/tcp_default_v15;ltm virtual /tenant5d98d6e21cc5a/Common_SSL_OFFLOAD_VS_80/Common_SSL_OFFLOAD_VS_80;ltm profile http /tenant5d98d6e21cc5a/Common_SSL_OFFLOAD_VS_80/http_default_v15;ltm profile http /tenant5d98d6e21cc5a/Common_SSL_OFFLOAD_VS_80/http_default_v15/enforcement;ltm virtual-address /tenant5d98d6e21cc5a/Common_SSL_OFFLOAD_VS_80/10.1.10.53
